locus_tag	ins_index.NSTY	ins_index.WTTY
R7A2020_03030	0.017	0.026
R7A2020_03035	0.060	0.078
R7A2020_03040	0.000	0.000
R7A2020_03045	0.049	0.052
R7A2020_03050	0.047	0.012
R7A2020_03055	0.062	0.072
R7A2020_03060	0.052	0.078
R7A2020_03065	0.053	0.039
R7A2020_03070	0.041	0.044
R7A2020_03075	0.037	0.077
R7A2020_03080	0.030	0.030
R7A2020_03085	0.056	0.065
R7A2020_03090	0.061	0.086
R7A2020_03095	0.045	0.048
R7A2020_03100	0.049	0.049
R7A2020_03105	0.048	0.060
R7A2020_03110	0.049	0.042
R7A2020_03115	0.064	0.048
R7A2020_03120	0.071	0.066
R7A2020_03125	0.044	0.044
R7A2020_03130	0.050	0.053
R7A2020_03135	0.041	0.036
R7A2020_03140	0.052	0.068
R7A2020_03145	0.029	0.047
R7A2020_03150	0.037	0.046
R7A2020_03155	0.046	0.054
R7A2020_03160	0.000	0.003
R7A2020_03165	0.056	0.053
R7A2020_03170	0.055	0.056
R7A2020_03175	0.066	0.050
R7A2020_03180	0.042	0.063
R7A2020_03185	0.072	0.052
R7A2020_03190	0.058	0.071
R7A2020_03195	0.030	0.048
R7A2020_03200	0.053	0.053
R7A2020_03205	0.063	0.061
R7A2020_03210	0.048	0.052
R7A2020_03215	0.037	0.058
R7A2020_03220	0.040	0.051
R7A2020_03225	0.048	0.053
R7A2020_03230	0.024	0.024
R7A2020_03235	0.033	0.030
R7A2020_03240	0.054	0.062
R7A2020_03245	0.056	0.053
R7A2020_03250	0.062	0.068
R7A2020_03255	0.036	0.039
R7A2020_03260	0.010	0.002
R7A2020_03265	0.080	0.075
R7A2020_03270	0.064	0.065
R7A2020_03275	0.001	0.000
R7A2020_03280	0.000	0.004
R7A2020_03285	0.033	0.048
R7A2020_03290	0.026	0.039
R7A2020_03295	0.044	0.046
R7A2020_03300	0.041	0.037
R7A2020_03305	0.061	0.058
R7A2020_03310	0.044	0.063
R7A2020_03315	0.050	0.056
R7A2020_03320	0.051	0.060
